time_s,temperature_C,pwm,heat_cool
0.12,25.47,0,1
0.25,25.47,0,1
0.38,25.47,0,1
0.52,25.47,0,1
0.65,25.47,0,1
0.78,25.48,0,1
0.91,25.48,0,1
1.04,25.47,0,1
1.18,25.48,0,1
1.31,25.48,0,1
1.44,25.48,0,1
1.57,25.48,0,1
1.7,25.48,0,1
1.84,25.48,0,1
1.97,25.48,0,1
2.1,25.48,0,1
2.23,25.48,0,1
2.36,25.48,0,1
2.5,25.48,0,1
2.63,25.47,0,1
2.76,25.47,0,1
2.89,25.48,0,1
3.02,25.47,0,1
3.16,25.47,0,1
3.29,25.47,0,1
3.42,25.47,0,1
3.55,25.47,0,1
3.68,25.47,0,1
3.82,25.47,0,1
3.95,25.47,0,1
4.08,25.47,0,1
4.21,25.47,0,1
4.34,25.46,0,1
4.48,25.46,0,1
4.61,25.46,0,1
4.74,25.46,0,1
4.87,25.46,0,1
5.0,25.46,0,1
5.14,25.46,0,1
5.27,25.46,0,1
5.4,25.45,0,1
5.53,25.45,0,1
5.66,25.45,0,1
5.8,25.45,0,1
5.93,25.45,0,1
6.06,25.45,0,1
6.19,25.45,0,1
6.32,25.44,0,1
6.46,25.44,0,1
6.59,25.44,0,1
6.72,25.44,0,1
6.85,25.44,0,1
6.98,25.45,137,1
7.12,25.45,137,1
7.25,25.46,137,1
7.38,25.49,137,1
7.51,25.54,137,1
7.65,25.59,137,1
7.78,25.66,137,1
7.91,25.74,137,1
8.04,25.83,137,1
8.17,25.93,137,1
8.31,26.03,137,1
8.44,26.14,137,1
8.57,26.25,137,1
8.7,26.37,137,1
8.83,26.49,137,1
8.97,26.62,137,1
9.1,26.75,137,1
9.23,26.89,137,1
9.36,27.02,137,1
9.49,27.16,137,1
9.63,27.3,137,1
9.76,27.44,137,1
9.89,27.59,137,1
10.02,27.73,137,1
10.15,27.88,137,1
10.29,28.02,137,1
10.42,28.18,137,1
10.55,28.32,137,1
10.68,28.47,137,1
10.81,28.62,137,1
10.95,28.77,137,1
11.08,28.92,137,1
11.21,29.07,137,1
11.34,29.22,137,1
11.48,29.37,137,1
11.61,29.53,137,1
11.74,29.68,137,1
11.87,29.85,137,1
12.01,30.01,137,1
12.14,30.15,137,1
12.27,30.31,137,1
12.4,30.43,137,1
12.53,30.56,137,1
12.67,30.71,137,1
12.8,30.86,137,1
12.93,31.01,137,1
13.06,31.15,137,1
13.19,31.29,137,1
13.33,31.44,137,1
13.46,31.59,137,1
13.59,31.73,137,1
13.72,31.87,137,1
13.85,32.02,137,1
13.99,32.17,137,1
14.12,32.31,137,1
14.25,32.45,137,1
14.38,32.59,137,1
14.52,32.73,137,1
14.65,32.88,137,1
14.78,33.02,137,1
14.91,33.16,137,1
15.04,33.31,255,1
15.18,33.46,255,1
15.31,33.6,255,1
15.44,33.77,255,1
15.57,33.93,255,1
15.71,34.12,255,1
15.84,34.31,255,1
15.97,34.51,255,1
16.1,34.71,255,1
16.23,34.92,255,1
16.36,35.14,255,1
16.5,35.37,255,1
16.63,35.59,255,1
16.76,35.81,255,1
16.89,36.04,255,1
17.03,36.28,255,1
17.16,36.51,255,1
17.29,36.75,255,1
17.42,36.98,255,1
17.55,37.22,255,1
17.69,37.46,255,1
17.82,37.7,255,1
17.95,37.94,255,1
18.08,38.18,255,1
18.21,38.42,255,1
18.35,38.66,255,1
18.48,38.91,255,1
18.61,39.16,255,1
18.75,39.4,255,1
18.88,39.64,255,1
19.01,39.88,255,1
19.14,40.12,255,1
19.27,40.36,255,1
19.4,40.6,255,1
19.54,40.84,255,1
19.67,41.09,255,1
19.8,41.31,255,1
19.93,41.56,255,1
20.07,41.8,255,1
20.2,42.04,255,1
20.33,42.27,255,1
20.46,42.51,255,1
20.59,42.75,255,1
20.73,42.97,255,1
20.86,43.2,255,1
20.99,43.44,255,1
21.12,43.67,255,1
21.25,43.9,255,1
21.39,44.13,255,1
21.52,44.36,255,1
21.65,44.58,255,1
21.78,44.8,255,1
21.92,45.02,255,1
22.05,45.25,255,0
22.18,45.47,255,0
22.31,45.65,255,0
22.44,45.79,255,0
22.58,45.91,255,0
22.71,45.98,255,0
22.84,46.04,255,0
22.97,46.06,255,0
23.1,46.06,255,0
23.24,46.03,255,0
23.37,45.98,255,0
23.5,45.92,255,0
23.63,45.86,255,0
23.77,45.76,255,0
23.9,45.66,255,0
24.03,45.55,255,0
24.16,45.43,255,0
24.29,45.31,255,0
24.43,45.16,255,0
24.56,45.02,255,0
24.69,44.87,255,0
24.82,44.71,255,0
24.95,44.55,255,0
25.09,44.39,255,0
25.22,44.22,255,0
25.35,44.05,255,0
25.48,43.87,255,0
25.62,43.69,255,0
25.75,43.51,255,0
25.88,43.33,255,0
26.01,43.14,255,0
26.14,42.95,255,0
26.28,42.77,255,0
26.41,42.58,255,0
26.54,42.39,255,0
26.67,42.19,255,0
26.8,42.0,255,0
26.94,41.81,255,0
27.07,41.61,255,0
27.2,41.42,255,0
27.33,41.22,255,0
27.46,41.03,255,0
27.6,40.84,255,0
27.73,40.64,255,0
27.86,40.45,255,0
28.0,40.25,197,0
28.13,40.06,197,0
28.26,39.87,197,0
28.39,39.69,197,0
28.52,39.51,197,0
28.65,39.33,197,0
28.79,39.15,197,0
28.92,38.97,197,0
29.05,38.81,197,0
29.18,38.64,197,0
29.32,38.47,197,0
29.45,38.3,197,0
29.58,38.14,197,0
29.71,37.98,197,0
29.84,37.82,197,0
29.98,37.66,197,0
30.11,37.51,197,0
30.24,37.35,197,0
30.37,37.2,197,0
30.5,37.05,197,0
30.64,36.9,197,0
30.77,36.76,197,0
30.9,36.6,197,0
31.03,36.46,197,0
31.17,36.31,197,0
31.3,36.17,197,0
31.43,36.03,197,0
31.56,35.88,197,0
31.69,35.74,197,0
31.83,35.59,79,0
31.96,35.45,79,0
32.09,35.32,79,0
32.22,35.2,79,0
32.36,35.08,79,0
32.49,34.98,79,0
32.62,34.87,79,0
32.75,34.77,79,0
32.88,34.68,79,0
33.02,34.58,79,0
33.15,34.49,79,0
33.28,34.41,79,0
33.41,34.32,79,0
33.54,34.24,79,0
33.68,34.17,79,0
33.81,34.09,79,0
33.94,34.01,79,0
34.07,33.94,79,0
34.21,33.87,79,0
34.34,33.8,79,0
34.47,33.73,79,0
34.6,33.66,79,0
34.73,33.6,79,0
34.87,33.53,79,0
35.0,33.47,79,0
35.13,33.4,79,0
35.26,33.34,79,0
35.39,33.28,79,0
35.53,33.22,79,0
35.66,33.16,79,0
35.79,33.1,79,0
35.92,33.04,79,0
36.06,32.98,79,0
36.19,32.93,79,0
36.32,32.87,79,0
36.45,32.81,79,0
36.58,32.76,79,0
36.72,32.7,79,0
36.85,32.65,79,0
36.98,32.6,79,0
37.11,32.55,79,0
37.24,32.49,79,0
37.38,32.44,79,0
37.51,32.39,79,0
37.64,32.34,79,0
37.77,32.29,79,0
37.9,32.24,79,0
38.04,32.19,79,0
38.17,32.14,79,0
38.3,32.09,79,0
38.43,32.04,79,0
38.56,32.0,79,0
38.7,31.95,79,0
38.83,31.9,79,0
38.96,31.85,79,0
39.09,31.8,79,0
39.22,31.76,79,0
39.36,31.71,79,0
39.49,31.66,79,0
39.62,31.62,79,0
39.75,31.57,79,0
39.88,31.53,79,0
40.02,31.48,79,0
40.15,31.44,79,0
40.28,31.39,79,0
40.41,31.35,79,0
40.55,31.3,79,0
40.68,31.26,79,0
40.81,31.22,79,0
40.94,31.17,79,0
41.07,31.13,79,0
41.21,31.08,79,0
41.34,31.05,79,0
41.47,31.0,79,0
41.6,30.96,79,0
41.74,30.91,79,0
41.87,30.87,79,0
42.0,30.83,79,0
42.13,30.79,79,0
42.26,30.75,79,0
42.4,30.71,79,0
42.53,30.66,79,0
42.66,30.62,79,0
42.79,30.58,79,1
42.92,30.53,79,1
43.06,30.5,79,1
43.19,30.49,79,1
43.32,30.49,79,1
43.45,30.49,79,1
43.58,30.5,79,1
43.72,30.53,79,1
43.85,30.57,79,1
43.98,30.6,79,1
44.11,30.65,79,1
44.24,30.7,79,1
44.38,30.76,79,1
44.51,30.82,79,1
44.64,30.88,79,1
44.77,30.95,79,1
44.9,31.02,79,1
45.04,31.09,79,1
45.17,31.16,79,1
45.3,31.23,79,1
45.43,31.31,79,1
45.56,31.39,79,1
45.7,31.47,79,1
45.83,31.54,79,1
45.96,31.6,79,1
46.09,31.68,79,1
46.23,31.74,79,1
46.36,31.8,79,1
46.49,31.87,79,1
46.62,31.96,79,1
46.75,32.06,79,1
46.89,32.19,79,1
47.02,32.28,79,1
47.15,32.38,79,1
47.28,32.46,79,1
47.42,32.55,79,1
47.55,32.63,79,1
47.68,32.71,79,1
47.81,32.8,79,1
47.94,32.88,79,1
48.08,32.97,79,1
48.21,33.05,79,1
48.34,33.13,79,1
48.47,33.22,79,1
48.6,33.3,79,1
48.74,33.39,79,1
48.87,33.47,79,1
49.0,33.54,79,1
49.13,33.61,79,1
49.26,33.69,79,1
49.4,33.78,79,1
49.53,33.86,79,1
49.66,33.94,79,1
49.79,34.02,79,1
49.93,34.1,79,1
50.06,34.19,79,1
50.19,34.26,79,1
50.32,34.32,79,1
50.45,34.39,79,1
50.59,34.47,79,1
50.72,34.55,79,1
50.85,34.62,79,1
50.98,34.7,79,1
51.11,34.8,255,1
51.25,34.87,255,1
51.38,34.96,255,1
51.51,35.08,255,1
51.64,35.2,255,1
51.78,35.35,255,1
51.91,35.5,255,1
52.04,35.67,255,1
52.17,35.85,255,1
52.3,36.04,255,1
52.44,36.24,255,1
52.57,36.44,255,1
52.7,36.65,255,1
52.83,36.86,255,1
52.96,37.08,255,1
53.1,37.3,255,1
53.23,37.53,255,1
53.36,37.76,255,1
53.49,37.99,255,1
53.62,38.23,255,1
53.76,38.46,255,1
53.89,38.7,255,1
54.02,38.94,255,1
54.15,39.19,255,1
54.29,39.43,255,1
54.42,39.68,255,1
54.55,39.92,255,1
54.68,40.16,255,1
54.81,40.41,255,1
54.95,40.66,255,1
55.08,40.9,255,1
55.21,41.15,255,1
55.34,41.39,255,1
55.47,41.64,255,1
55.61,41.89,255,1
55.74,42.14,255,1
55.87,42.38,255,1
56.0,42.63,255,1
56.14,42.87,255,1
56.27,43.11,255,1
56.4,43.35,255,1
56.53,43.6,255,1
56.67,43.84,255,1
56.8,44.08,255,1
56.93,44.32,255,1
57.06,44.55,255,1
57.19,44.79,255,1
57.33,45.03,255,1
57.46,45.26,255,1
57.59,45.5,255,1
57.72,45.73,255,1
57.85,45.96,255,1
57.99,46.19,255,1
58.12,46.42,255,1
58.25,46.65,255,1
58.38,46.88,255,1
58.51,47.1,255,1
58.65,47.33,255,1
58.78,47.56,255,1
58.91,47.78,255,1
59.04,48.01,255,1
59.17,48.21,255,1
59.31,48.45,255,1
59.44,48.67,255,1
59.57,48.89,255,1
59.7,49.11,255,1
59.84,49.32,255,1
59.97,49.54,255,1
60.1,49.76,255,1
60.23,49.96,255,1
60.36,50.17,255,1
60.5,50.38,255,1
60.63,50.59,255,1
60.76,50.79,255,1
60.89,51.0,255,1
61.02,51.2,255,1
61.16,51.41,255,1
61.29,51.6,255,1
61.42,51.81,255,1
61.55,52.01,255,1
61.68,52.21,255,1
61.82,52.4,255,1
61.95,52.6,255,1
62.08,52.79,255,1
62.21,52.99,255,1
62.35,53.18,255,1
62.48,53.38,255,1
62.61,53.57,255,1
62.74,53.76,255,1
62.87,53.95,255,0
63.01,54.14,255,0
63.14,54.29,255,0
63.27,54.39,255,0
63.4,54.49,255,0
63.54,54.53,255,0
63.67,54.54,255,0
63.8,54.54,255,0
63.93,54.52,255,0
64.06,54.48,255,0
64.19,54.39,255,0
64.33,54.33,255,0
64.46,54.23,255,0
64.59,54.11,255,0
64.72,53.99,255,0
64.86,53.85,255,0
64.99,53.71,255,0
65.12,53.56,255,0
65.25,53.4,255,0
65.38,53.23,255,0
65.51,53.06,255,0
65.65,52.88,255,0
65.78,52.69,255,0
65.91,52.51,255,0
66.04,52.32,255,0
66.18,52.12,255,0
66.31,51.93,255,0
66.44,51.73,255,0
66.57,51.53,255,0
66.7,51.32,255,0
66.84,51.11,255,0
66.97,50.91,255,0
67.1,50.69,255,0
67.23,50.48,255,0
67.36,50.27,255,0
67.5,50.06,255,0
67.63,49.85,255,0
67.76,49.64,255,0
67.89,49.42,255,0
68.02,49.2,255,0
68.16,48.98,255,0
68.29,48.77,255,0
68.42,48.55,255,0
68.55,48.33,255,0
68.68,48.12,255,0
68.82,47.91,255,0
68.95,47.69,255,0
69.08,47.48,255,0
69.21,47.26,255,0
69.35,47.05,255,0
69.48,46.84,255,0
69.61,46.63,255,0
69.74,46.42,255,0
69.87,46.22,255,0
70.01,46.01,255,0
70.14,45.81,255,0
70.27,45.6,255,0
70.4,45.4,255,0
70.54,45.19,255,0
70.67,44.99,255,0
70.8,44.79,255,0
70.93,44.59,255,0
71.06,44.4,255,0
71.2,44.2,255,0
71.33,44.01,255,0
71.46,43.81,255,0
71.59,43.61,255,0
71.72,43.42,255,0
71.86,43.23,255,0
71.99,43.04,255,0
72.12,42.85,255,0
72.25,42.67,255,0
72.39,42.48,255,0
72.52,42.3,255,0
72.65,42.11,255,0
72.78,41.92,255,0
72.91,41.74,255,0
73.05,41.56,255,0
73.18,41.38,255,0
73.31,41.2,255,0
73.44,41.03,255,0
73.57,40.85,255,0
73.71,40.68,255,0
73.84,40.5,255,0
73.97,40.33,255,0
74.1,40.16,255,0
74.23,39.99,255,0
74.37,39.82,255,0
74.5,39.66,255,0
74.63,39.49,255,0
74.76,39.33,255,0
74.9,39.16,255,0
75.03,38.99,255,0
75.16,38.83,255,0
75.29,38.67,255,0
75.43,38.51,255,0
75.56,38.35,255,0
75.69,38.19,255,0
75.82,38.04,255,0
75.95,37.88,255,0
76.09,37.73,255,0
76.22,37.58,255,0
76.35,37.42,255,0
76.48,37.28,255,0
76.61,37.12,255,0
76.75,36.97,255,0
76.88,36.83,255,0
77.01,36.68,255,0
77.14,36.54,255,0
77.28,36.39,255,0
77.41,36.24,255,0
77.54,36.1,255,0
77.67,35.96,255,0
77.8,35.81,255,0
77.94,35.67,255,0
78.07,35.53,255,0
78.2,35.39,255,0
78.33,35.25,255,0
78.46,35.11,255,0
78.6,34.98,255,0
78.73,34.84,255,0
78.86,34.7,255,0
78.99,34.57,255,0
79.12,34.43,255,0
79.26,34.3,255,0
79.39,34.17,255,0
79.52,34.04,255,0
79.65,33.9,255,0
79.79,33.78,255,0
79.92,33.65,255,0
80.05,33.52,255,0
80.18,33.39,255,0
80.31,33.26,255,0
80.45,33.13,255,0
80.58,33.01,255,0
80.71,32.88,255,0
80.84,32.76,255,0
80.97,32.63,255,0
81.11,32.51,255,0
81.24,32.39,255,0
81.37,32.27,255,0
81.5,32.15,255,0
81.64,32.03,255,0
