time_s,temperature_C,pwm,heat_cool
0.121,26.96,204,1
0.257,26.96,204,1
0.392,26.96,204,1
0.528,26.95,204,1
0.664,26.94,204,1
0.799,26.93,204,1
0.935,26.92,204,1
1.071,26.91,203,1
1.207,26.9,204,1
1.344,26.89,204,1
1.481,26.89,203,1
1.617,26.89,203,1
1.754,26.89,204,1
1.891,26.89,204,1
2.028,26.89,204,1
2.164,26.89,204,1
2.301,26.89,204,1
2.438,26.89,204,1
2.574,26.89,204,1
2.711,26.89,204,1
2.848,26.89,204,1
2.984,26.89,204,1
3.121,26.89,204,1
3.258,26.89,204,1
3.395,26.89,204,1
3.531,26.89,204,1
3.668,26.89,204,1
3.805,26.89,204,1
3.941,26.89,204,1
4.078,26.89,204,1
4.215,26.89,204,1
4.352,26.89,204,1
4.488,26.89,204,1
4.625,26.89,204,1
4.762,26.89,204,1
4.898,26.89,204,1
5.035,26.89,204,1
5.172,26.89,204,1
5.308,26.89,204,1
5.445,26.89,204,1
5.582,26.89,204,1
5.719,26.89,204,1
5.855,26.89,204,1
5.992,26.89,204,1
6.129,26.88,204,1
6.265,26.88,204,1
6.402,26.86,203,1
6.539,26.82,203,1
6.676,26.78,204,1
6.812,26.73,204,1
6.949,26.67,204,1
7.086,26.6,204,1
7.222,26.54,204,1
7.359,26.47,204,1
7.496,26.4,204,1
7.632,26.32,204,1
7.769,26.25,204,1
7.906,26.17,204,1
8.042,26.08,204,1
8.179,26.0,204,1
8.316,25.92,204,1
8.452,25.83,204,1
8.589,25.74,204,1
8.726,25.65,204,1
8.862,25.55,204,1
8.999,25.46,204,1
9.136,25.37,204,1
9.273,25.28,204,1
9.409,25.18,204,1
9.546,25.09,204,1
9.682,24.99,204,1
9.819,24.89,204,1
9.955,24.79,204,1
10.091,24.7,204,1
10.228,24.6,204,1
10.366,24.51,204,1
10.503,24.41,204,1
10.64,24.31,204,1
10.777,24.22,204,1
10.915,24.12,204,1
11.052,24.03,204,1
11.189,23.94,204,1
11.327,23.83,204,1
11.464,23.74,204,1
11.601,23.66,204,1
11.738,23.56,204,1
11.876,23.46,204,1
12.013,23.37,204,1
12.15,23.27,204,1
12.287,23.18,204,1
12.425,23.08,204,1
12.562,22.99,204,1
12.699,22.89,204,1
12.836,22.8,204,1
12.973,22.71,204,1
13.111,22.62,204,1
13.248,22.53,204,1
13.385,22.44,204,1
13.523,22.35,204,1
13.66,22.27,204,1
13.797,22.17,204,1
13.934,22.08,204,1
14.071,21.99,204,1
14.209,21.89,204,1
14.346,21.81,204,1
14.483,21.72,204,1
14.62,21.63,204,1
14.758,21.54,204,1
14.895,21.46,204,1
15.032,21.38,204,1
15.169,21.29,204,1
15.306,21.2,204,1
15.444,21.12,204,1
15.581,21.03,204,1
15.718,20.94,204,1
15.855,20.86,204,1
15.992,20.78,204,1
16.13,20.69,204,1
16.267,20.61,204,1
16.404,20.53,204,1
16.541,20.45,204,1
16.679,20.36,204,1
16.816,20.28,204,1
16.953,20.2,204,1
17.09,20.12,204,1
17.228,20.04,204,1
17.365,19.97,204,1
17.502,19.88,204,1
17.639,19.8,204,1
17.777,19.73,204,1
17.914,19.66,204,1
18.051,19.57,204,1
18.188,19.49,204,1
18.325,19.4,204,1
18.463,19.34,204,1
18.6,19.26,204,1
18.737,19.18,204,1
18.874,19.11,204,1
19.012,19.04,204,1
19.149,18.96,204,1
19.286,18.88,204,1
19.423,18.82,204,1
19.56,18.74,204,1
19.698,18.67,204,1
19.835,18.59,204,1
19.972,18.51,204,1
20.109,18.44,204,1
20.247,18.37,204,1
20.384,18.3,204,1
20.521,18.23,204,1
20.658,18.16,204,1
20.795,18.09,204,1
20.933,18.02,204,1
21.07,17.94,204,1
21.207,17.88,204,1
21.344,17.8,204,1
21.482,17.74,204,1
21.619,17.68,204,1
21.756,17.6,204,1
21.893,17.53,204,1
22.03,17.46,204,1
22.168,17.4,204,1
22.305,17.32,204,1
22.442,17.26,204,1
22.579,17.19,204,1
22.716,17.13,204,1
22.854,17.06,203,1
22.991,16.99,203,1
23.128,16.92,204,1
23.265,16.86,204,1
23.403,16.79,204,1
23.54,16.73,204,1
23.677,16.66,204,1
23.814,16.6,204,1
23.951,16.54,204,1
24.089,16.47,204,1
24.226,16.41,204,1
24.363,16.34,204,1
24.5,16.28,204,1
24.637,16.22,204,1
24.775,16.16,203,1
24.912,16.09,203,1
25.049,16.03,203,1
25.186,15.97,204,1
25.324,15.91,204,1
25.461,15.85,204,1
25.598,15.79,204,1
25.735,15.72,204,1
25.872,15.67,204,1
26.01,15.61,204,1
26.147,15.54,204,1
26.284,15.48,204,1
26.421,15.41,203,1
26.559,15.36,203,1
26.696,15.3,203,1
26.833,15.24,203,1
26.97,15.18,203,1
27.107,15.13,203,1
27.245,15.06,204,1
27.382,15.01,204,1
27.519,14.94,204,1
27.656,14.9,203,1
27.793,14.83,187,0
27.932,14.78,187,0
28.07,14.73,187,0
28.208,14.71,187,0
28.347,14.73,187,0
28.485,14.77,188,0
28.623,14.85,187,0
28.762,14.95,187,0
28.9,15.08,188,0
29.038,15.22,188,0
29.176,15.37,188,0
29.315,15.55,188,0
29.453,15.74,188,0
29.591,15.93,188,0
29.73,16.13,188,0
29.868,16.34,187,0
30.006,16.56,188,0
30.144,16.78,188,0
30.283,17.01,188,0
30.421,17.24,188,0
30.559,17.49,188,0
30.698,17.72,188,0
30.836,17.96,188,0
30.974,18.21,188,0
31.113,18.46,188,0
31.251,18.71,188,0
31.389,18.96,188,0
31.527,19.21,188,0
31.666,19.46,188,0
31.804,19.71,188,0
31.942,19.97,188,0
32.08,20.21,188,0
32.219,20.47,188,0
32.357,20.73,188,0
32.495,20.98,188,0
32.634,21.24,188,0
32.772,21.49,188,0
32.91,21.75,188,0
33.049,22.0,188,0
33.187,22.26,188,0
33.325,22.5,187,0
33.463,22.76,188,0
33.602,23.02,188,0
33.74,23.27,188,0
33.878,23.53,188,0
34.017,23.76,188,0
34.155,24.02,188,0
34.293,24.26,188,1
34.431,24.52,188,1
34.568,24.76,188,1
34.705,24.97,188,1
34.843,25.14,188,1
34.981,25.3,188,1
35.118,25.43,188,1
35.256,25.54,188,1
35.394,25.65,188,1
35.532,25.75,188,1
35.669,25.83,188,1
35.807,25.91,188,1
35.945,25.97,188,1
36.083,26.04,188,1
36.22,26.11,188,1
36.358,26.14,188,1
36.496,26.19,188,1
36.634,26.23,188,1
36.771,26.27,188,1
36.909,26.27,188,1
37.047,26.32,189,1
37.185,26.35,189,1
37.322,26.35,189,1
37.46,26.35,189,1
37.598,26.35,189,1
37.736,26.38,189,1
37.873,26.42,189,1
38.011,26.42,189,1
38.149,26.42,189,1
38.287,26.42,189,1
38.425,26.42,189,1
38.562,26.42,189,1
38.7,26.42,189,1
38.838,26.38,189,1
38.976,26.35,189,1
39.113,26.35,189,1
39.251,26.35,189,1
39.389,26.35,189,1
39.527,26.35,189,1
39.664,26.35,189,1
39.802,26.33,189,1
39.94,26.27,189,1
40.078,26.27,189,1
40.215,26.27,189,1
40.353,26.27,189,1
40.491,26.27,189,1
40.629,26.22,189,1
40.766,26.19,189,1
40.904,26.19,189,1
41.042,26.19,189,1
41.18,26.18,189,1
41.317,26.12,189,1
41.455,26.11,189,1
41.593,26.11,189,1
41.731,26.11,189,1
41.868,26.04,189,1
42.006,26.04,189,1
42.144,26.04,189,1
42.282,26.04,189,1
42.419,25.98,189,1
42.557,25.96,189,1
42.695,25.96,189,1
42.833,25.96,189,1
42.97,25.93,189,1
43.108,25.88,189,1
43.246,25.88,189,1
43.384,25.88,189,1
43.521,25.86,189,1
43.659,25.81,189,1
43.797,25.81,189,1
43.935,25.81,189,1
44.072,25.81,189,1
44.21,25.75,189,1
44.348,25.73,189,1
44.486,25.73,189,1
44.623,25.73,189,1
44.761,25.71,189,1
44.899,25.65,189,1
45.037,25.65,189,1
45.174,25.65,189,1
45.312,25.65,189,1
45.45,25.65,189,1
45.588,25.58,189,1
45.725,25.58,189,1
45.863,25.58,189,1
46.001,25.58,189,1
46.139,25.56,189,1
46.276,25.5,189,1
46.414,25.5,189,1
46.552,25.5,189,1
46.69,25.5,189,1
46.827,25.5,189,1
46.965,25.47,189,1
47.103,25.42,189,1
47.241,25.42,189,1
47.378,25.42,189,1
47.516,25.42,189,1
47.654,25.42,189,1
47.792,25.41,189,1
47.929,25.35,189,1
48.067,25.35,189,1
48.205,25.34,189,1
48.343,25.34,189,1
48.48,25.34,189,1
48.618,25.34,189,1
48.756,25.34,189,1
48.894,25.29,189,1
49.031,25.27,189,1
49.169,25.27,189,1
49.307,25.27,189,1
49.445,25.27,189,1
49.582,25.27,189,1
49.72,25.27,189,1
49.858,25.27,189,1
49.996,25.21,189,1
50.133,25.19,189,1
50.271,25.19,189,1
50.409,25.19,189,1
50.547,25.19,189,1
50.684,25.19,189,1
50.822,25.19,189,1
50.96,25.19,189,1
51.098,25.19,189,1
51.235,25.19,189,1
51.373,25.14,189,1
51.511,25.12,189,1
51.649,25.11,189,1
51.786,25.11,189,1
51.924,25.11,189,1
52.062,25.11,189,1
52.199,25.11,189,1
52.337,25.11,189,1
52.475,25.11,189,1
52.613,25.11,189,1
52.75,25.11,189,1
52.888,25.11,189,1
53.026,25.08,189,1
53.164,25.05,189,1
53.301,25.04,189,1
53.439,25.04,189,1
53.577,25.04,189,1
53.715,25.04,189,1
53.852,25.04,189,1
53.99,25.04,189,1
54.128,25.04,189,1
54.266,25.04,189,1
54.403,25.04,189,1
54.541,25.04,189,1
54.679,25.04,189,1
54.817,25.04,189,1
54.954,25.04,189,1
55.092,25.03,189,1
55.23,25.01,189,1
55.367,24.98,189,1
55.505,24.97,189,1
55.642,24.96,189,1
55.779,24.96,189,1
55.916,24.96,189,1
56.054,24.96,189,1
56.191,24.96,189,1
56.328,24.96,189,1
56.465,24.96,189,1
56.603,24.96,189,1
56.74,24.96,189,1
56.877,24.96,189,1
57.014,24.96,189,1
57.152,24.96,189,1
57.289,24.96,189,1
57.426,24.96,189,1
57.563,24.96,189,1
57.701,24.96,189,1
57.838,24.96,189,1
57.975,24.96,189,1
58.112,24.96,189,1
58.249,24.96,189,1
58.387,24.96,189,1
58.524,24.95,189,1
58.661,24.94,189,1
58.798,24.92,189,1
58.936,24.9,189,1
59.073,24.89,189,1
59.21,24.89,189,1
59.347,24.89,189,1
59.484,24.89,189,1
59.622,24.89,189,1
59.759,24.89,189,1
59.896,24.89,189,1
60.033,24.89,189,1
60.171,24.89,189,1
60.308,24.89,189,1
60.445,24.89,189,1
60.582,24.89,189,1
60.719,24.89,189,1
60.857,24.89,189,1
60.994,24.89,189,1
61.131,24.89,189,1
61.268,24.89,189,1
61.405,24.89,189,1
61.543,24.89,189,1
61.68,24.89,189,1
61.817,24.89,189,1
61.954,24.89,189,1
62.092,24.89,189,1
62.229,24.89,189,1
62.366,24.89,189,1
62.503,24.89,189,1
62.64,24.89,189,1
62.778,24.89,189,1
62.915,24.89,189,1
63.052,24.89,189,1
63.189,24.89,189,1
63.326,24.89,189,1
63.464,24.89,189,1
63.601,24.89,189,1
63.738,24.89,189,1
63.875,24.89,189,1
64.013,24.89,189,1
64.15,24.88,189,1
64.287,24.88,189,1
64.424,24.88,189,1
64.561,24.88,189,1
64.699,24.88,189,1
64.836,24.88,189,1
64.973,24.88,189,1
65.11,24.88,189,1
65.248,24.88,189,1
65.385,24.88,189,1
65.522,24.88,189,1
65.659,24.88,189,1
65.797,24.88,189,1
65.934,24.88,189,1
66.071,24.87,189,1
66.208,24.86,189,1
66.345,24.86,189,1
66.483,24.85,189,1
66.62,24.85,189,1
66.757,24.84,189,1
66.894,24.83,189,1
67.032,24.83,189,1
67.169,24.82,189,1
67.306,24.82,189,1
67.443,24.82,189,1
67.581,24.81,189,1
67.718,24.81,189,1
67.855,24.81,189,1
67.993,24.81,189,1
68.13,24.81,189,1
68.267,24.81,189,1
68.404,24.81,189,1
68.542,24.81,189,1
68.679,24.81,189,1
68.816,24.81,189,1
68.953,24.81,189,1
69.091,24.81,189,1
69.228,24.81,189,1
69.365,24.81,189,1
69.503,24.81,189,1
69.64,24.81,189,1
69.777,24.81,189,1
69.914,24.81,189,1
70.052,24.81,189,1
70.189,24.81,189,1
70.326,24.81,189,1
70.463,24.81,189,1
70.601,24.81,189,1
70.738,24.81,189,1
70.875,24.81,189,1
71.013,24.81,189,1
71.15,24.81,189,1
71.287,24.81,189,1
71.424,24.81,189,1
71.562,24.81,189,1
71.699,24.81,189,1
71.836,24.81,189,1
71.973,24.81,189,1
72.111,24.81,189,1
72.248,24.81,189,1
72.385,24.81,189,1
72.522,24.81,189,1
72.66,24.81,189,1
72.797,24.81,189,1
72.934,24.81,189,1
73.071,24.81,189,1
73.209,24.81,189,1
73.346,24.81,189,1
73.483,24.81,189,1
73.62,24.81,189,1
73.758,24.81,189,1
73.895,24.81,189,1
74.032,24.81,189,1
74.17,24.81,189,1
74.307,24.81,189,1
74.444,24.81,189,1
74.581,24.81,189,1
74.719,24.81,189,1
74.856,24.81,189,1
74.993,24.81,189,1
75.13,24.81,189,1
75.268,24.81,189,1
75.405,24.81,189,1
75.542,24.81,189,1
75.679,24.81,189,1
75.817,24.81,189,1
75.954,24.81,189,1
76.091,24.81,189,1
76.229,24.81,189,1
76.366,24.81,189,1
76.503,24.81,189,1
76.64,24.81,189,1
76.778,24.81,189,1
76.915,24.81,189,1
77.052,24.81,189,1
77.189,24.81,189,1
77.327,24.81,189,1
77.464,24.81,189,1
77.601,24.81,189,1
77.739,24.81,189,1
77.876,24.81,189,1
78.013,24.81,189,1
78.15,24.81,189,1
78.288,24.81,189,1
78.425,24.81,189,1
78.562,24.81,189,1
78.699,24.81,189,1
78.837,24.81,189,1
78.974,24.81,189,1
79.111,24.81,189,1
79.249,24.81,189,1
79.386,24.81,189,1
79.523,24.81,189,1
79.66,24.81,189,1
79.798,24.81,189,1
79.935,24.81,189,1
80.072,24.81,189,1
80.209,24.81,189,1
80.347,24.81,189,1
80.484,24.81,189,1
80.621,24.81,189,1
80.758,24.81,189,1
80.896,24.81,189,1
81.033,24.81,189,1
81.17,24.81,189,1
81.308,24.81,189,1
81.445,24.81,189,1
81.582,24.81,189,1
81.719,24.81,189,1
81.857,24.81,189,1
81.994,24.81,189,1
82.131,24.81,189,1
82.268,24.81,189,1
82.406,24.81,189,1
82.543,24.81,189,1
82.68,24.81,189,1
82.818,24.81,189,1
82.955,24.81,189,1
83.092,24.81,189,1
83.229,24.81,189,1
83.367,24.81,189,1
83.504,24.81,189,1
83.641,24.81,189,1
83.778,24.81,189,1
83.916,24.81,189,1
84.053,24.81,189,1
84.19,24.81,189,1
84.328,24.81,189,1
84.465,24.81,189,1
84.602,24.81,189,1
84.739,24.81,189,1
84.877,24.81,189,1
85.014,24.81,189,1
85.151,24.81,189,1
85.288,24.81,189,1
85.426,24.81,189,1
85.563,24.81,189,1
85.7,24.8,189,1
85.838,24.8,189,1
85.975,24.8,189,1
86.112,24.8,189,1
86.249,24.8,189,1
86.387,24.8,189,1
86.524,24.8,189,1
86.661,24.8,189,1
86.798,24.79,189,1
86.936,24.79,189,1
87.073,24.79,189,1
87.21,24.79,189,1
87.348,24.79,189,1
87.485,24.78,189,1
87.622,24.78,189,1
87.759,24.78,189,1
87.897,24.77,189,1
88.034,24.77,189,1
88.171,24.77,189,1
88.308,24.76,189,1
88.446,24.76,189,1
88.583,24.76,189,1
88.72,24.75,189,1
88.858,24.75,189,1
88.995,24.75,189,1
89.132,24.75,189,1
89.269,24.75,189,1
89.407,24.74,189,1
89.544,24.74,189,1
89.681,24.74,189,1
89.819,24.74,189,1
89.956,24.74,189,1
90.093,24.74,189,1
90.23,24.74,189,1
90.368,24.74,189,1
90.505,24.73,189,1
90.642,24.73,189,1
90.779,24.73,189,1
90.917,24.73,189,1
91.054,24.73,189,1
91.191,24.73,189,1
91.329,24.74,189,1
91.466,24.74,189,1
91.603,24.74,189,1
91.74,24.74,189,1
91.878,24.74,189,1
92.015,24.74,189,1
92.152,24.74,189,1
92.29,24.74,189,1
92.427,24.74,189,1
92.564,24.73,189,1
92.701,24.73,189,1
92.839,24.73,189,1
92.976,24.73,189,1
93.113,24.73,189,1
93.25,24.73,189,1
93.388,24.73,189,1
93.525,24.74,189,1
93.662,24.74,189,1
93.8,24.74,189,1
93.937,24.74,189,1
94.074,24.74,189,1
94.211,24.74,189,1
94.349,24.74,189,1
94.486,24.74,189,1
94.623,24.74,189,1
94.76,24.74,189,1
94.898,24.75,189,1
95.035,24.74,189,1
95.172,24.75,189,1
95.31,24.75,189,1
95.447,24.75,189,1
95.584,24.75,189,1
95.721,24.75,189,1
95.859,24.75,189,1
95.996,24.75,189,1
96.133,24.75,189,1
96.271,24.75,189,1
96.408,24.75,189,1
96.545,24.75,189,1
96.682,24.74,189,1
96.82,24.74,189,1
96.957,24.74,189,1
97.094,24.74,189,1
97.231,24.74,189,1
97.369,24.74,189,1
97.506,24.74,189,1
97.643,24.74,189,1
97.781,24.74,189,1
97.918,24.74,189,1
98.055,24.74,189,1
98.192,24.73,189,1
98.33,24.73,189,1
98.467,24.73,189,1
98.604,24.73,189,1
98.741,24.73,189,1
98.879,24.73,189,1
99.016,24.73,189,1
99.153,24.73,189,1
99.291,24.73,189,1
99.428,24.73,189,1
99.565,24.73,189,1
99.702,24.73,189,1
99.84,24.73,189,1
99.977,24.73,189,1
100.114,24.73,189,1
100.253,24.73,189,1
100.391,24.73,189,1
100.529,24.73,189,1
100.667,24.73,189,1
100.806,24.73,189,1
100.944,24.73,189,1
101.082,24.73,189,1
101.221,24.73,189,1
101.359,24.73,189,1
101.497,24.73,189,1
101.636,24.73,189,1
101.774,24.73,189,1
101.912,24.73,189,1
102.05,24.73,189,1
102.189,24.73,189,1
102.327,24.73,189,1
102.465,24.73,189,1
102.604,24.73,189,1
102.742,24.73,189,1
102.88,24.73,189,1
103.019,24.73,189,1
103.157,24.73,189,1
103.295,24.73,189,1
103.433,24.73,189,1
103.572,24.73,189,1
103.71,24.73,189,1
103.848,24.73,189,1
103.987,24.73,189,1
104.125,24.73,189,1
104.263,24.73,189,1
104.402,24.73,189,1
104.54,24.73,189,1
104.678,24.73,189,1
104.816,24.73,189,1
104.955,24.73,189,1
105.093,24.73,189,1
105.231,24.73,189,1
105.37,24.73,189,1
105.508,24.73,189,1
105.646,24.73,188,1
105.785,24.73,188,1
105.923,24.73,189,1
106.061,24.73,189,1
106.199,24.73,188,1
106.338,24.73,188,1
106.476,24.73,189,1
106.614,24.73,188,1
106.753,24.73,189,1
106.891,24.73,188,1
107.029,24.73,189,1
107.168,24.73,188,1
107.306,24.73,189,1
107.444,24.73,189,1
107.582,24.73,189,1
107.721,24.73,189,1
107.859,24.73,189,1
107.997,24.73,189,1
108.136,24.73,189,1
108.274,24.73,189,1
108.412,24.73,189,1
108.551,24.73,189,1
108.689,24.73,189,1
108.827,24.73,189,1
108.965,24.73,189,1
109.104,24.73,189,1
109.242,24.73,189,1
109.38,24.73,189,1
109.519,24.73,189,1
109.657,24.73,189,1
109.795,24.73,188,1
109.934,24.73,189,1
110.072,24.73,189,1
110.21,24.73,189,1
110.348,24.73,189,1
110.487,24.73,188,1
110.625,24.73,189,1
110.763,24.73,189,1
110.902,24.73,189,1
111.04,24.73,189,1
111.178,24.73,189,1
111.317,24.73,189,1
111.455,24.73,189,1
111.593,24.73,189,1
111.731,24.73,189,1
111.87,24.73,189,1
112.008,24.73,189,1
112.146,24.73,189,1
112.285,24.73,189,1
112.423,24.73,189,1
112.561,24.73,189,1
112.7,24.73,189,1
112.838,24.73,189,1
112.976,24.73,189,1
113.114,24.73,189,1
113.253,24.73,189,1
113.391,24.73,189,1
113.529,24.73,189,1
113.668,24.73,189,1
